UnitID,Institution Name,Students from the full-time adjusted fall 2018 cohort enrolled in fall 2019 (EF2019D),Students from the full-time adjusted fall 2017 cohort enrolled in fall 2018 (EF2018D_RV),Students from the full-time adjusted fall 2016 cohort enrolled in fall 2017 (EF2017D_RV),Students from the full-time adjusted fall 2015 cohort enrolled in fall 2016 (EF2016D_RV),Students from the full-time adjusted fall 2014 cohort enrolled in fall 2015 (EF2015D_RV),Students from the full-time adjusted fall 2013 cohort enrolled in fall 2014 (EF2014D_RV),Students from the full-time adjusted fall 2012 cohort enrolled in fall 2013 (EF2013D_RV),Students from the full-time adjusted fall 2011 cohort enrolled in fall 2012 (EF2012D_RV),
210508,Academy of Vocal Arts,,,,,,,,,
210571,Albright College,398,316,410,352,420,501,293,384,
210669,Allegheny College,405,396,449,406,394,500,499,496,
210775,Alvernia University,313,276,267,327,286,301,292,281,
210809,American College of Financial Services,,,,,,,,,
211088,Arcadia University,376,439,466,461,533,487,579,403,
210492,Bryn Athyn College of the New Church,59,73,55,58,64,61,40,67,
211273,Bryn Mawr College,349,325,374,360,330,333,331,326,
211291,Bucknell University,899,898,894,864,875,869,861,873,
444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,,,,,,,,,
211352,Cabrini University,337,350,328,273,296,233,272,238,
215114,Cairn University-Langhorne,140,112,108,117,110,103,104,86,
211431,Carlow University,192,192,168,162,152,158,151,154,
211440,Carnegie Mellon University,1525,1612,1474,1508,1432,1381,1320,1364,
211468,Cedar Crest College,156,171,149,141,134,97,97,82,
211556,Chatham University,225,221,165,169,78,71,90,99,
211583,Chestnut Hill College,111,147,187,163,123,148,152,175,
211024,Clarks Summit University,57,52,51,50,58,66,58,104,
211893,Curtis Institute of Music,15,9,10,19,26,29,25,22,
211981,Delaware Valley University,320,296,319,307,344,300,312,312,
210739,DeSales University,401,348,405,346,316,351,331,371,
212009,Dickinson College,552,552,550,654,569,566,540,591,
212054,Drexel University,2968,2904,2076,2421,2467,2528,2607,2567,
212106,Duquesne University,1171,1193,1181,1088,993,1212,1145,1027,
212133,Eastern University,256,229,256,244,243,282,294,317,
212197,Elizabethtown College,337,364,384,438,367,421,410,439,
212443,Evangelical Theological Seminary,,,,,,,,,
212577,Franklin and Marshall College,551,595,585,536,544,549,550,550,
212601,Gannon University,613,510,517,461,484,492,468,513,
456542,Geisinger Commonwealth School of Medicine,,,,,,,,,
212656,Geneva College,220,229,230,267,259,281,261,248,
212674,Gettysburg College,686,652,626,626,653,623,678,666,
212771,Gratz College,,,,0,,,,,
212805,Grove City College,545,557,520,512,570,591,590,561,
212832,Gwynedd Mercy University,151,141,104,123,114,53,74,64,
446640,Harrisburg University of Science and Technology,132,144,89,63,48,59,84,49,
212911,Haverford College,344,338,338,336,328,320,316,324,
212984,Holy Family University,258,283,255,260,192,209,240,220,
213011,Immaculata University,157,147,168,149,181,228,200,195,
448691,International Institute for Restorative Practices,,,,,,,,,
213251,Juniata College,300,286,318,302,362,344,353,328,
213303,Keystone College,175,180,180,142,150,141,183,155,
213321,King's College,397,462,418,397,348,373,388,426,
